ID,Name,Outline Level,Duration,Start,Finish
97,Ajustes finales,2,1w,2026-11-13,2026-11-20
98,B11 Limpieza,2,1w,2026-11-20,2026-11-27
99,C09 Limpieza,2,1w,2026-11-27,2026-12-04
100,Zona 4: Recámara 1,1,32w,2026-04-24,2026-12-04
101,G01 Preliminares,2,1w,2026-04-24,2026-05-01
102,G02 Desmontajes,2,1w,2026-05-01,2026-05-08
103,G03 Demoliciones,2,1w,2026-05-08,2026-05-15
104,G04 Zapata corrida,2,1w,2026-05-15,2026-05-22
105,G04 Zapata corrida,2,1w,2026-05-22,2026-05-29
106,G05 Albañilerías,2,1w,2026-05-29,2026-06-05
107,G05 Albañilerías,2,1w,2026-06-05,2026-06-12
108,G06 Losa aligerada,2,1w,2026-06-12,2026-06-19
109,G06 Losa aligerada,2,1w,2026-06-19,2026-06-26
110,H01 Desmontaje,2,1w,2026-06-26,2026-07-03
111,H02 Estructura Acero,2,1w,2026-07-03,2026-07-10
112,H03 Durock Cubierta,2,1w,2026-07-10,2026-07-17
113,G07 Inst. Eléctricas,2,1w,2026-07-17,2026-07-24
114,G07 Inst. Eléctricas,2,1w,2026-07-24,2026-07-31
115,G07 Accesorios Eléc.,2,1w,2026-07-31,2026-08-07
116,G07 Tablero,2,1w,2026-08-07,2026-08-14
117,G08 Inst. Hidráulicas,2,1w,2026-08-14,2026-08-21
118,G08 Inst. Sanitarias,2,1w,2026-08-21,2026-08-28
119,G08 Inst. Pluviales,2,1w,2026-08-28,2026-09-04
120,G08 Inst. Pluviales,2,1w,2026-09-04,2026-09-11
121,G08 Accesorios San.,2,1w,2026-09-11,2026-09-18
122,G09 Recubrim./Pint.,2,1w,2026-09-18,2026-09-25
123,G09 Recubrim./Pint.,2,1w,2026-09-25,2026-10-02
124,G09 Recubrim./Pint.,2,1w,2026-10-02,2026-10-09
125,G10 Cancelería,2,1w,2026-10-09,2026-10-16
126,G10 Cancelería,2,1w,2026-10-16,2026-10-23
127,G11 Carpintería,2,1w,2026-10-23,2026-10-30
128,G11 Carpintería,2,1w,2026-10-30,2026-11-06
129,Adecuaciones,2,1w,2026-11-06,2026-11-13
130,Pruebas generales,2,1w,2026-11-13,2026-11-20
131,Retiro material,2,1w,2026-11-20,2026-11-27
132,G12 Limpieza,2,1w,2026-11-27,2026-12-04
133,Zona 5: Sala TV,1,32w,2026-04-24,2026-12-04
134,D01/E01 Prelimina.,2,1w,2026-04-24,2026-05-01
135,D02 Desmontajes,2,1w,2026-05-01,2026-05-08
136,D03 Demoliciones,2,1w,2026-05-08,2026-05-15
137,D04 Zapatas Aisladas,2,1w,2026-05-15,2026-05-22
138,D05 Zapatas Corridas,2,1w,2026-05-22,2026-05-29
139,D06 Albañilerías,2,1w,2026-05-29,2026-06-05
140,E02 Albañilerías,2,1w,2026-06-05,2026-06-12
